t0_x,t0_y,theta_par,theta_perp,v_x,v_y,likelihood,est_flux,field_num,times
1024.0,3625.0,0.0,0.0,236.622,213.046,10.656,535.463,1.0,[ 0.         0.2217066]
657.0,3246.0,0.0,0.0,304.153,-221.058,10.53,516.151,1.0,[ 0.         0.2217066]
623.0,2999.0,0.0,0.0,12.32,234.877,9.943,418.735,1.0,[ 0.         0.2217066]
776.0,3405.0,0.0,0.0,573.633,-90.961,9.697,409.851,1.0,[ 0.         0.2217066]
503.0,3062.0,0.0,0.0,459.2,0.0,9.649,403.941,1.0,[ 0.         0.2217066]
115.0,3743.0,0.0,0.0,-443.959,-46.619,9.039,495.202,1.0,[ 0.         0.2217066]
1898.0,677.0,0.0,0.0,29.158,-89.784,8.645,400.543,1.0,[ 0.         0.2217066]
1807.0,565.0,0.0,0.0,365.04,328.669,7.678,350.358,1.0,[ 0.         0.2217066]
1877.0,529.0,0.0,0.0,122.109,574.363,7.51,324.852,1.0,[ 0.         0.2217066]
1765.0,707.0,0.0,0.0,524.264,-201.351,7.409,310.003,1.0,[ 0.         0.2217066]
1885.0,870.0,0.0,0.0,-309.351,224.792,5.981,374.072,1.0,[ 0.         0.2217066]
